/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1135,604,1153,617,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1174,681,1193,692,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1155,616,1174,629,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1180,630,1193,648,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1193,654,1207,670,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1143,682,1155,695,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1544,317,1562,330,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1565,348,1579,371,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1510,355,1521,368,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1353,591,1369,611,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1350,679,1363,696,house
/Users/daniel/OAN/SID/sid_ml_analysis/esri_retinanet/dataset/images/1rFB4qso6-NTjDSUzLxm42hRz_cpK7woT.png,1350,715,1364,728,house
