filename,width,height,class,xmin,ymin,xmax,ymax
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_1.png,450,450,buildings,307,258,337,272
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_1.png,450,450,buildings,322,283,337,308
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_1.png,450,450,buildings,293,316,316,327
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,428,362,438,382
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,427,385,439,405
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,328,357,341,381
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,357,365,373,374
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,401,364,414,372
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,242,325,252,341
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,306,302,317,325
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,317,277,327,299
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,296,263,316,272
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,315,223,330,245
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_6.png,450,450,buildings,384,137,396,156
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_2.png,450,450,buildings,327,58,341,83
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_2.png,450,450,buildings,276,59,287,77
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_2.png,450,450,buildings,277,82,290,101
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_2.png,450,450,buildings,295,113,332,123
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_2.png,450,450,buildings,331,88,342,112
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_2.png,450,450,buildings,303,72,317,81
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_2.png,450,450,buildings,276,109,286,120
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_2.png,450,450,buildings,309,44,331,55
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_2.png,450,450,buildings,292,46,305,55
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_7.png,450,450,buildings,184,397,196,420
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_7.png,450,450,buildings,70,362,80,382
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_7.png,450,450,buildings,69,385,81,405
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_7.png,450,450,buildings,122,268,135,295
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_7.png,450,450,buildings,43,364,56,372
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_7.png,450,450,buildings,98,269,110,276
1_0kR65Zqe8vWbAM9mU4xUItmHSkdQBMr_7.png,450,450,buildings,27,137,38,156
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_1.png,450,450,buildings,176,91,190,105
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_1.png,450,450,buildings,216,150,231,165
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_1.png,450,450,buildings,228,306,240,326
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_1.png,450,450,buildings,353,335,375,358
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_6.png,450,450,buildings,354,4,375,28
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_6.png,450,450,buildings,147,152,161,169
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_6.png,450,450,buildings,194,220,224,238
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_6.png,450,450,buildings,215,267,235,279
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_6.png,450,450,buildings,229,237,241,256
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_6.png,450,450,buildings,421,286,440,302
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_6.png,450,450,buildings,373,390,386,402
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_6.png,450,450,buildings,377,412,387,429
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_6.png,450,450,buildings,330,180,346,191
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_2.png,450,450,buildings,330,426,346,438
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_2.png,450,450,buildings,381,422,394,435
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_7.png,450,450,buildings,63,286,82,301
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_7.png,450,450,buildings,15,390,28,402
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_7.png,450,450,buildings,18,412,30,429
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_7.png,450,450,buildings,330,96,345,108
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_7.png,450,450,buildings,382,121,391,135
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_7.png,450,450,buildings,381,92,394,105
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_7.png,450,450,buildings,350,150,364,171
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_7.png,450,450,buildings,294,153,308,168
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_7.png,450,450,buildings,315,165,324,174
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_3.png,450,450,buildings,23,422,36,435
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_8.png,450,450,buildings,24,121,33,135
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_8.png,450,450,buildings,23,92,36,105
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_8.png,450,450,buildings,369,185,384,207
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_8.png,450,450,buildings,370,219,378,234
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_8.png,450,450,buildings,366,246,379,262
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_8.png,450,450,buildings,212,252,229,265
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_8.png,450,450,buildings,229,298,247,317
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_8.png,450,450,buildings,240,320,251,332
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_8.png,450,450,buildings,310,360,323,377
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_8.png,450,450,buildings,300,400,317,417
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_9.png,450,450,buildings,11,185,26,207
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_9.png,450,450,buildings,12,219,20,234
1sT62XQgZFO-43Ixs4vvHeVr4dJKVVITz_9.png,450,450,buildings,8,246,21,262
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_2.png,450,450,buildings,329,189,335,194
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_2.png,450,450,buildings,333,171,341,179
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_2.png,450,450,buildings,348,166,358,176
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_2.png,450,450,buildings,368,169,377,177
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_2.png,450,450,buildings,370,203,373,207
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_2.png,450,450,buildings,367,190,377,200
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_2.png,450,450,buildings,230,217,241,228
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_2.png,450,450,buildings,227,192,235,200
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_3.png,450,450,buildings,303,304,313,314
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_3.png,450,450,buildings,319,306,326,313
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_3.png,450,450,buildings,337,312,347,322
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_3.png,450,450,buildings,340,295,349,304
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_3.png,450,450,buildings,10,169,19,177
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_3.png,450,450,buildings,12,203,15,207
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_3.png,450,450,buildings,9,190,19,200
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_4.png,450,450,buildings,304,341,314,359
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_4.png,450,450,buildings,377,116,389,141
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_4.png,450,450,buildings,307,75,322,106
1X1ZV7u4RGAvEpE8FhhzUG6Pf8y1E7p47_9.png,450,450,buildings,304,11,314,29
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,296,331,334,346
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,304,288,330,303
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,339,300,355,332
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,296,378,325,393
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,411,364,427,396
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,357,265,374,276
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,285,285,296,292
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,388,390,405,403
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,331,340,347,370
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,328,370,341,391
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,309,407,320,426
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,324,75,344,89
1iRSSNT0StWUtXJqt8IMj_OUmp1sokQil_0.png,450,450,buildings,342,88,354,113
